epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,677.999,0.6622,1.03663,0.55325,0.99086,0.82309,0.9456,0.92095,0.81403,0.82207,0.9405,0.91954,0.81165,0.41377,0.48208,0.34488,0.98331,0.00513833,0.00513833,0.00513833
31,699.819,0.64977,1.01633,0.54908,0.99334,0.92374,0.93674,0.9715,0.85148,0.92374,0.93674,0.96845,0.84321,0.41285,0.49202,0.31434,0.98363,0.00527893,0.00527893,0.00527893
32,721.652,0.66279,1.04095,0.56323,1.00181,0.95548,0.9519,0.97185,0.85487,0.95548,0.9519,0.97171,0.84486,0.42189,0.50162,0.30245,0.99553,0.00541756,0.00541756,0.00541756
33,743.61,0.65389,1.02665,0.53888,0.99506,0.90609,0.91904,0.9576,0.84372,0.90609,0.91904,0.95716,0.83982,0.42226,0.4853,0.32491,0.9956,0.0055542,0.0055542,0.0055542
34,765.333,0.65745,1.02669,0.54917,0.99077,0.9325,0.9314,0.96938,0.85842,0.9325,0.9314,0.96814,0.84707,0.40375,0.48275,0.31326,0.97158,0.00568886,0.00568886,0.00568886
35,787.131,0.65714,1.04468,0.55029,1.00024,0.94008,0.92908,0.96675,0.8528,0.94008,0.92908,0.96497,0.84272,0.41457,0.49766,0.3195,0.98809,0.00582154,0.00582154,0.00582154
36,808.924,0.66383,1.03238,0.57265,0.9981,0.85096,0.95688,0.94943,0.84519,0.84839,0.95325,0.94562,0.83999,0.40531,0.49472,0.32982,0.98168,0.00595225,0.00595225,0.00595225
37,830.771,0.67047,1.03812,0.5551,1.00326,0.96131,0.89012,0.96298,0.84192,0.96131,0.89012,0.96278,0.83774,0.40658,0.49589,0.33024,0.98444,0.00608097,0.00608097,0.00608097
38,852.478,0.6618,1.05515,0.55517,0.99541,0.91572,0.88367,0.94817,0.8455,0.91572,0.88367,0.94588,0.83422,0.40134,0.4976,0.32433,0.97405,0.00620771,0.00620771,0.00620771
39,874.188,0.66847,1.04455,0.57317,1.00301,0.86502,0.96532,0.95311,0.84491,0.86222,0.96217,0.94935,0.83283,0.39265,0.49493,0.30316,0.96749,0.00633247,0.00633247,0.00633247
40,895.883,0.65938,1.04084,0.55292,0.99964,0.91122,0.91904,0.96495,0.85531,0.91122,0.91904,0.96483,0.851,0.38769,0.48037,0.31126,0.96563,0.00645525,0.00645525,0.00645525
41,917.703,0.67724,1.04278,0.56653,1.00648,0.80176,0.91681,0.90141,0.79286,0.80001,0.915,0.89894,0.77947,0.40012,0.48562,0.43007,0.98221,0.00657606,0.00657606,0.00657606
42,939.357,0.66374,1.03817,0.5667,1.00201,0.85414,0.95732,0.94682,0.84692,0.85271,0.95551,0.94534,0.83802,0.37676,0.47093,0.30791,0.96402,0.00669488,0.00669488,0.00669488
43,961.021,0.6808,1.06039,0.5801,1.00483,0.84548,0.94762,0.91517,0.81416,0.8412,0.94193,0.90932,0.8073,0.39547,0.51001,0.31362,0.97598,0.00681172,0.00681172,0.00681172
44,982.706,0.67727,1.07674,0.5759,1.00692,0.94797,0.91621,0.96901,0.85572,0.94795,0.91594,0.96265,0.84968,0.38938,0.46729,0.30727,0.96635,0.00692658,0.00692658,0.00692658
45,1004.43,0.67915,1.07676,0.56965,1.00158,0.956,0.92628,0.9738,0.86312,0.95597,0.92517,0.97095,0.85014,0.39708,0.48887,0.31141,0.97095,0.00703946,0.00703946,0.00703946
46,1026.15,0.6782,1.05302,0.58008,1.00855,0.91798,0.90998,0.95852,0.85636,0.92392,0.90817,0.95561,0.84556,0.37671,0.47184,0.30186,0.95521,0.00715037,0.00715037,0.00715037
47,1047.79,0.66984,1.04664,0.58201,1.00176,0.9557,0.92475,0.97062,0.86102,0.9557,0.92475,0.97015,0.85328,0.38629,0.4786,0.30669,0.96502,0.00725929,0.00725929,0.00725929
48,1069.47,0.67303,1.07484,0.57465,1.00455,0.94232,0.94398,0.97345,0.86053,0.94232,0.94398,0.97338,0.85034,0.39012,0.47504,0.32228,0.96879,0.00736623,0.00736623,0.00736623
49,1091.09,0.68191,1.0509,0.58034,1.00721,0.95478,0.93196,0.96539,0.85221,0.95119,0.93244,0.96801,0.84367,0.38855,0.46824,0.31821,0.96678,0.00747119,0.00747119,0.00747119
50,1112.79,0.68469,1.06702,0.58901,1.00861,0.95136,0.9448,0.97568,0.86376,0.95136,0.9448,0.97517,0.85042,0.38255,0.46703,0.30017,0.95931,0.00757417,0.00757417,0.00757417
