epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,302.696,1.01126,1.56579,0.9214,1.08246,0.88316,0.86879,0.93428,0.71275,0.881,0.86757,0.93102,0.71071,0.92158,1.20545,0.65014,1.02972,0.000832759,0.000832759,0.000832759
30,312.648,1.0198,1.53531,0.90535,1.08794,0.88738,0.79322,0.8736,0.65325,0.88738,0.79322,0.87208,0.67386,0.91278,1.15912,0.7651,1.03405,0.000856527,0.000856527,0.000856527
31,322.598,1.00431,1.5427,0.9202,1.07993,0.69341,0.7969,0.79292,0.61328,0.69047,0.79193,0.79109,0.60606,0.90331,1.19822,0.70824,1.04469,0.000879966,0.000879966,0.000879966
32,332.463,1.00044,1.52632,0.87106,1.07181,0.92165,0.77847,0.882,0.66778,0.92677,0.76965,0.87548,0.65283,0.87397,1.14571,0.63358,1.01335,0.000903074,0.000903074,0.000903074
33,342.323,0.9768,1.50309,0.878,1.06276,0.86235,0.92286,0.95145,0.72107,0.86235,0.92286,0.95354,0.70513,0.913,1.21544,0.6517,1.03653,0.000925853,0.000925853,0.000925853
34,352.296,0.9863,1.51133,0.86234,1.06282,0.86693,0.64604,0.81528,0.61938,0.86501,0.64385,0.81251,0.61173,0.89133,1.20595,0.66735,1.01416,0.000948301,0.000948301,0.000948301
35,362.082,0.98552,1.47072,0.84712,1.06814,0.81325,0.82669,0.91268,0.6536,0.81325,0.82669,0.91584,0.62928,0.89058,1.20991,0.72838,1.02274,0.00097042,0.00097042,0.00097042
36,371.898,0.98379,1.48843,0.87826,1.05757,0.84245,0.77426,0.87176,0.65101,0.88835,0.80944,0.8951,0.67196,0.90951,1.18718,0.64514,1.01543,0.000992208,0.000992208,0.000992208
37,381.719,0.97733,1.49317,0.85696,1.0662,0.83021,0.84213,0.86627,0.6185,0.82596,0.8367,0.85794,0.65989,0.93105,1.21344,0.75697,1.04392,0.00101367,0.00101367,0.00101367
38,391.567,0.97785,1.50462,0.8563,1.05562,0.86833,0.90568,0.92714,0.68104,0.86671,0.90387,0.92318,0.70009,0.92327,1.20075,0.66282,1.0263,0.00103479,0.00103479,0.00103479
39,401.403,0.9866,1.51651,0.86097,1.06763,0.88123,0.89907,0.95354,0.72238,0.88123,0.89907,0.95111,0.75255,0.92003,1.1668,0.66636,1.02688,0.00105559,0.00105559,0.00105559
40,411.399,0.97471,1.51353,0.84703,1.05778,0.86424,0.77295,0.87007,0.66549,0.90678,0.80789,0.91725,0.65753,0.88528,1.19596,0.61471,1.01648,0.00107606,0.00107606,0.00107606
41,421.278,0.96594,1.46913,0.81167,1.05701,0.85692,0.93297,0.95306,0.7029,0.85522,0.93116,0.94992,0.69746,0.88678,1.1852,0.65985,1.03672,0.0010962,0.0010962,0.0010962
42,431.112,0.94517,1.47957,0.82119,1.04977,0.75638,0.86599,0.85514,0.69456,0.78776,0.90106,0.87034,0.67052,0.87569,1.15562,0.67408,1.00966,0.00111601,0.00111601,0.00111601
43,440.878,0.96664,1.46119,0.8326,1.05165,0.78915,0.94565,0.92838,0.67378,0.76161,0.90994,0.8944,0.66208,0.88196,1.18919,0.68778,1.01661,0.00113548,0.00113548,0.00113548
